time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/total_timesteps,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/loss,train/clip_fraction,train/std,train/clip_range,train/entropy_loss,train/explained_variance,train/value_loss,train/approx_kl,eval/mean_ep_length,eval/mean_reward,curriculum/shake_force
598,33,724.6,722.0967117799999,226,135168,9.126186666666667e-05,-0.0012326808835496194,320,0.003577904310077429,0.079736328125,0.3248388171195984,0.09126186666666668,-0.2955556433647871,0.6744133234024048,0.01855556379305199,0.002035147,,,
607,34,715.19,712.6520883000002,229,139264,9.09888e-05,-0.0015329270798247307,330,0.0005590852815657854,0.064501953125,0.324144572019577,0.09098880000000001,-0.2934153225272894,0.27958250045776367,0.002393287057202542,0.00095632835,,,
,,,,,140000,9.071573333333334e-05,-0.0005272921596770174,340,0.013952638953924179,0.0916259765625,0.32497090101242065,0.09071573333333334,-0.2933014027774334,0.8113923668861389,0.026906655682250858,0.0017580643,543.7,540.6905206,
646,35,724.44,721.79997534,221,143360,,,,,,,,,,,,,,0.0375
656,36,746.35,743.6801592800001,224,147456,9.044266666666668e-05,-0.0030345723600476047,350,-0.00726983742788434,0.08759765625,0.3254008889198303,0.09044266666666667,-0.2958934292197227,0.9507089257240295,0.0013164110321667976,0.0010728266,,,
667,37,755.5,752.8382253900002,227,151552,9.016960000000001e-05,-0.0018542573074228131,360,-0.003212262410670519,0.0679443359375,0.32405880093574524,0.09016960000000002,-0.29405789375305175,0.9752393364906311,0.0004897630089544692,0.0011632063,,,
677,38,744.04,741.35777656,229,155648,8.989653333333334e-05,-0.001771769835613668,370,-0.004841940943151712,0.0888671875,0.32298192381858826,0.08989653333333335,-0.29054587371647356,0.9835634827613831,0.0007726839876340819,0.0012161065,,,
688,39,746.01,743.3383294699998,232,159744,8.962346666666667e-05,-0.002174215124978218,380,0.0040970128029584885,0.111279296875,0.3224000036716461,0.08962346666666667,-0.28760596960783,0.8171879053115845,0.00901595234463457,0.002049618,,,
,,,,,160000,8.93504e-05,-0.001025717800075654,390,0.005600541830062866,0.1014892578125,0.3226645886898041,0.0893504,-0.2872860848903656,0.8271884322166443,0.011404025318915956,0.0023822614,808.0,805.6865596,
743,40,736.32,733.66855441,220,163840,,,,,,,,,,,,,,0.0375
753,41,726.5,723.84094098,222,167936,8.907733333333334e-05,-0.0020948234028765,400,-0.001824668375775218,0.0948486328125,0.32185712456703186,0.08907733333333334,-0.2867346439510584,0.9606401324272156,0.003171738404489588,0.0019304687,,,
763,42,726.5,723.7700085199999,225,172032,8.880426666666667e-05,-0.0011577787692658604,410,0.00046996487071737647,0.0914306640625,0.31993409991264343,0.08880426666666667,-0.28248710110783576,0.8885160684585571,0.0022384505020454524,0.0014437225,,,
773,43,733.44,730.7444710099999,227,176128,8.85312e-05,-0.0006405503212590702,420,-0.0015631725545972586,0.0575927734375,0.31947576999664307,0.0885312,-0.27841791957616807,-0.37061071395874023,0.00022203059124876746,0.0011457115,,,
,,,,,180000,8.825813333333334e-05,-0.0017919027188327164,430,0.001382197835482657,0.0755126953125,0.3181823194026947,0.08825813333333334,-0.27619345523416994,0.6289348006248474,0.0015410457119287458,0.0010192124,901.5,898.9740329,
834,44,734.36,731.67105522,215,180224,,,,,,,,,,,,,,0.0375
844,45,728.02,725.3244688900002,218,184320,8.798506666666667e-05,0.0010495242837350815,440,-0.005521300248801708,0.1312255859375,0.317769855260849,0.08798506666666667,-0.2730378668755293,0.7487419247627258,0.005274466480477713,0.0023825744,,,
