time/iterations,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/clip_range,rollout/ep_len_mean,train/learning_rate,train/entropy_loss,train/clip_fraction,train/loss,train/value_loss,train/std,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/n_updates,eval/mean_reward,eval/mean_ep_length,curriculum/shake_force
43,388,88064,226,989.6917140909089,0.08566400000000002,993.4772727272727,8.566400000000001e-05,-1.1919864863157272,0.015380859375,0.0029746550135314465,0.0027332037789165042,0.7963432669639587,0.0005904387,0.662596583366394,-0.0007693465071497485,420,,,
44,392,90112,229,989.6917140909089,0.08532266666666667,993.4772727272727,8.532266666666668e-05,-1.1907625406980515,0.0119140625,0.001838472206145525,0.0016881214985914994,0.7954078912734985,0.0005641711,0.3393576741218567,-0.0008671452786074951,430,,,
45,397,92160,232,989.9346746413041,0.08498133333333334,993.7608695652174,8.498133333333334e-05,-1.1893302842974662,0.010986328125,-0.0030772765167057514,0.006155339133692905,0.7943293452262878,0.0004614491,0.6738442778587341,-0.0011244147637626157,440,,,
46,401,94208,234,989.9346746413041,0.08464,993.7608695652174,8.464e-05,-1.18667072057724,0.030322265625,-0.0011673063272610307,0.003946952875412535,0.7906016111373901,0.0007762114,0.548005223274231,-0.0012386635964503512,450,,,
47,405,96256,237,990.2707984583334,0.08429866666666667,994.0208333333334,8.429866666666667e-05,-1.182111604511738,0.016845703125,0.0012170614209026098,0.0015090502944076433,0.7875178456306458,0.00054641603,0.3717039227485657,-0.0011904432263690977,460,,,
48,409,98304,239,990.2707984583334,0.08395733333333333,994.0208333333334,8.395733333333333e-05,-1.1788844257593154,0.00869140625,0.00010847067460417747,0.005367899881093763,0.7857117056846619,0.00037203918,0.7864710092544556,-0.0008793295855866745,470,,,
,,100000,,,0.08361600000000001,,8.361600000000001e-05,-1.1779771536588668,0.0052734375,0.0007898232433944941,0.006595779486815445,0.7861130833625793,0.00045547105,0.694035530090332,-0.000801957531075459,480,993.2087971000001,1000.0,
49,372,100352,269,990.4489194800002,,994.26,,,,,,,,,,,,,0.6103515625
50,377,102400,271,990.4489194800002,0.08327466666666666,994.26,8.327466666666667e-05,-1.1779803946614265,0.02421875,0.0009670343133620918,0.002215421065920964,0.7858769297599792,0.0008636627,0.7707129120826721,-0.0010500950767891482,490,,,
51,380,104448,274,993.0325379900002,0.08293333333333335,996.7,8.293333333333333e-05,-1.1776185676455497,0.044677734375,-0.001676999032497406,0.0028612995534786022,0.7852135300636292,0.000785117,0.5977456569671631,-0.0022875024762470273,500,,,
52,385,106496,276,993.0325379900002,0.082592,996.7,8.2592e-05,-1.174940212070942,0.0302734375,-8.350354619324207e-05,0.0028282166545977815,0.7815657258033752,0.0004939056,0.6270604729652405,-0.0016908666453673503,510,,,
53,389,108544,278,993.10170087,0.08225066666666668,996.7,8.225066666666668e-05,-1.171497116982937,0.0330078125,0.0057241651229560375,0.013041185995098204,0.7801446318626404,0.0008460947,0.6491226553916931,-0.0011408778475015425,520,,,
54,392,110592,281,993.10170087,0.08190933333333333,996.7,8.190933333333334e-05,-1.1698810890316964,0.014990234375,0.005706564523279667,0.004099018729175441,0.7788243889808655,0.0002638279,0.8027580976486206,-0.001734332469641231,530,,,
55,396,112640,284,992.92273803,0.081568,996.7,8.1568e-05,-1.1677025869488715,0.0283203125,0.009786478243768215,0.017969643883407115,0.7766593098640442,0.00074231776,0.5598273873329163,-0.0015299768652766942,540,,,
56,399,114688,286,992.7986392099999,0.08122666666666667,996.7,8.122666666666667e-05,-1.1668836906552316,0.02861328125,-0.0009536589495837688,0.004956656934518832,0.7778856158256531,0.00065690075,0.8142755627632141,-0.0009896884264890104,550,,,
57,403,116736,289,992.68993892,0.08088533333333334,996.7,8.088533333333334e-05,-1.1658214196562766,0.019384765625,-0.00022156327031552792,0.006095900948275812,0.7742201685905457,0.00037797145,0.444743812084198,-0.0014503922167932615,560,,,
58,406,118784,292,992.6933345100001,0.080544,996.7,8.054399999999999e-05,-1.1606418192386627,0.03603515625,-0.0010302304290235043,0.004290204442804679,0.7702451348304749,0.00062782655,0.7934157848358154,-0.00216144631995121,570,,,
