time/total_timesteps,time/fps,time/iterations,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/approx_kl,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/std,train/loss,train/clip_fraction,train/clip_range,train/explained_variance,eval/mean_reward,eval/mean_ep_length,curriculum/start_tilt
124928,315,61,395,571.29,499.58237328999996,0.008257481,600,-0.39846562333405017,-0.007034205520176329,0.00028117797255617917,0.00028156799999999994,0.3573635220527649,-0.027781544253230095,0.032568359375,0.187712,0.9993259310722351,,,
126976,317,62,400,590.22,519.1293179500001,0.0024045329,610,-0.3743949353694916,-0.005786194879328832,6.488396584245493e-05,0.0002812608,0.34599626064300537,0.0004507809935603291,0.008203125,0.1875072,-0.5758622884750366,,,
129024,319,63,404,600.03,528.68145034,0.0016597132,620,-0.34431631565093995,-0.0037345823540817944,0.0001847830508268089,0.0002809536,0.33704936504364014,-0.0011704806238412857,0.007958984375,0.1873024,-2.1085989475250244,,,
131072,320,64,408,562.98,494.98163616,0.0017972311,630,-0.32371787279844283,-0.0032366974017350005,9.954298584489152e-05,0.0002806464,0.3319567143917084,-0.0004972931928932667,0.0142578125,0.1870976,0.9997092485427856,,,
133120,322,65,412,563.32,495.01262742,0.005041574,640,-0.3116416156291962,-0.0036691730696475134,0.0002515347102416854,0.00028033919999999996,0.3290930986404419,0.0026220136787742376,0.04013671875,0.1868928,0.9996967315673828,,,
135168,324,66,416,553.79,488.35908309999996,0.0031178182,650,-0.29563527554273605,-0.005022068676771596,8.860577022460348e-05,0.000280032,0.32096487283706665,-0.008723192848265171,0.011083984375,0.18668800000000002,0.9980340600013733,,,
137216,325,67,421,535.0,470.85451665,0.0020915766,660,-0.2768925875425339,-0.004777634452329949,0.0001771352256582759,0.00027972479999999997,0.31779998540878296,-0.01627936027944088,0.0240234375,0.18648320000000002,0.9995314478874207,,,
139264,327,68,424,534.87,471.87146389000003,0.0049432092,670,-0.267760181427002,-0.004653445398434997,0.00020848440526606283,0.0002794176,0.3147828280925751,-0.00960948783904314,0.0302734375,0.1862784,0.9996399879455566,,,
140000,,,,,,0.003729432,680,-0.25674356520175934,-0.0049075726914452385,0.00017061265466509213,0.0002791104,0.3105708062648773,-0.0030914160888642073,0.026806640625,0.1860736,0.9995663166046143,999.2339605,1000.0,
141312,309,69,456,516.13,454.04352033,,,,,,,,,,,,,,0.10056785937499996
